Region,Country,Date_of_Arrival,Number_of_Tourists
West Asia,Other Markets In West Asia,2023-06-01,"3,015"
Americas,Canada,2023-06-01,"6,664"
Americas,USA,2023-06-01,"59,074"
Americas,Other Markets In Americas,2023-06-01,"4,623"
Europe,Belgium & Luxembourg,2023-06-01,"1,646"
Europe,Denmark,2023-06-01,"1,499"
Europe,Finland,2023-06-01,"1,221"
Europe,France,2023-06-01,"9,709"
Europe,Germany,2023-06-01,"15,026"
Europe,Italy,2023-06-01,"3,426"
Europe,Netherlands,2023-06-01,"5,041"
Europe,Norway,2023-06-01,"1,831"
Europe,Rep Of Ireland,2023-06-01,"1,626"
Europe,Russian Federation,2023-06-01,"2,796"
Europe,Spain,2023-06-01,"3,562"
Europe,Sweden,2023-06-01,"1,538"
Europe,Switzerland,2023-06-01,"3,991"
Europe,United Kingdom,2023-06-01,"24,244"
Europe,Other Markets In Europe,2023-06-01,"11,381"
Oceania,Australia,2023-06-01,"90,770"
Oceania,New Zealand,2023-06-01,"13,352"
Oceania,Other Markets In Oceania,2023-06-01,"3,793"
Africa,Egypt,2023-06-01,211
Africa,Mauritius,2023-06-01,349
Africa,South Africa (Rep Of),2023-06-01,"1,946"
Africa,Other Markets In Africa,2023-06-01,"2,069"
Others,Others,2023-06-01,60
Southeast Asia,Brunei Darussalam,2023-07-01,"5,108"
Southeast Asia,Indonesia,2023-07-01,"229,886"
Southeast Asia,Malaysia,2023-07-01,"84,876"
Southeast Asia,Myanmar,2023-07-01,"10,811"
Southeast Asia,Philippines,2023-07-01,"77,160"
Southeast Asia,Thailand,2023-07-01,"41,367"
Southeast Asia,Vietnam,2023-07-01,"60,188"
Southeast Asia,Other Markets In Southeast Asia,2023-07-01,"9,640"
Greater China,China,2023-07-01,"231,331"
Greater China,Hong Kong SAR,2023-07-01,"32,175"
Greater China,Taiwan,2023-07-01,"43,097"
Greater China,Other Markets In Greater China,2023-07-01,"3,266"
North Asia,Japan,2023-07-01,"42,730"
North Asia,South Korea,2023-07-01,"60,960"
North Asia,Other Markets In North Asia,2023-07-01,171
South Asia,Bangladesh,2023-07-01,"11,100"
South Asia,India,2023-07-01,"93,056"
South Asia,Pakistan,2023-07-01,"2,654"
South Asia,Sri Lanka,2023-07-01,"4,509"
South Asia,Other Markets In South Asia,2023-07-01,"3,414"
West Asia,Iran,2023-07-01,298
West Asia,Israel,2023-07-01,"1,596"
West Asia,Kuwait,2023-07-01,"1,511"
West Asia,Saudi Arabia,2023-07-01,"5,249"
West Asia,United Arab Emirates,2023-07-01,"9,793"
West Asia,Other Markets In West Asia,2023-07-01,"4,326"
Americas,Canada,2023-07-01,"9,770"
Americas,USA,2023-07-01,"64,786"
Americas,Other Markets In Americas,2023-07-01,"7,081"
Europe,Belgium & Luxembourg,2023-07-01,"3,995"
Europe,Denmark,2023-07-01,"2,881"
Europe,Finland,2023-07-01,"1,062"
Europe,France,2023-07-01,"18,158"
Europe,Germany,2023-07-01,"21,074"
Europe,Italy,2023-07-01,"6,965"
Europe,Netherlands,2023-07-01,"10,867"
Europe,Norway,2023-07-01,"3,585"
Europe,Rep Of Ireland,2023-07-01,"2,344"
Europe,Russian Federation,2023-07-01,"3,627"
Europe,Spain,2023-07-01,"5,983"
Europe,Sweden,2023-07-01,"1,930"
