Region,Country,Date_of_Arrival,Number_of_Tourists
Europe,Denmark,Jun-23,"1,499"
Europe,Finland,Jun-23,"1,221"
Europe,France,Jun-23,"9,709"
Europe,Germany,Jun-23,"15,026"
Europe,Italy,Jun-23,"3,426"
Europe,Netherlands,Jun-23,"5,041"
Europe,Norway,Jun-23,"1,831"
Europe,Rep Of Ireland,Jun-23,"1,626"
Europe,Russian Federation,Jun-23,"2,796"
Europe,Spain,Jun-23,"3,562"
Europe,Sweden,Jun-23,"1,538"
Europe,Switzerland,Jun-23,"3,991"
Europe,United Kingdom,Jun-23,"24,244"
Europe,Other Markets In Europe,Jun-23,"11,381"
Oceania,Australia,Jun-23,"90,770"
Oceania,New Zealand,Jun-23,"13,352"
Oceania,Other Markets In Oceania,Jun-23,"3,793"
Africa,Egypt,Jun-23,211
Africa,Mauritius,Jun-23,349
Africa,South Africa (Rep Of),Jun-23,"1,946"
Africa,Other Markets In Africa,Jun-23,"2,069"
Others,Others,Jun-23,60
Southeast Asia,Brunei Darussalam,Jul-23,"5,108"
Southeast Asia,Indonesia,Jul-23,"229,886"
Southeast Asia,Malaysia,Jul-23,"84,876"
Southeast Asia,Myanmar,Jul-23,"10,811"
Southeast Asia,Philippines,Jul-23,"77,160"
Southeast Asia,Thailand,Jul-23,"41,367"
Southeast Asia,Vietnam,Jul-23,"60,188"
Southeast Asia,Other Markets In Southeast Asia,Jul-23,"9,640"
Greater China,China,Jul-23,"231,331"
Greater China,Hong Kong SAR,Jul-23,"32,175"
Greater China,Taiwan,Jul-23,"43,097"
Greater China,Other Markets In Greater China,Jul-23,"3,266"
North Asia,Japan,Jul-23,"42,730"
North Asia,South Korea,Jul-23,"60,960"
North Asia,Other Markets In North Asia,Jul-23,171
South Asia,Bangladesh,Jul-23,"11,100"
South Asia,India,Jul-23,"93,056"
South Asia,Pakistan,Jul-23,"2,654"
South Asia,Sri Lanka,Jul-23,"4,509"
South Asia,Other Markets In South Asia,Jul-23,"3,414"
West Asia,Iran,Jul-23,298
West Asia,Israel,Jul-23,"1,596"
West Asia,Kuwait,Jul-23,"1,511"
West Asia,Saudi Arabia,Jul-23,"5,249"
West Asia,United Arab Emirates,Jul-23,"9,793"
West Asia,Other Markets In West Asia,Jul-23,"4,326"
Americas,Canada,Jul-23,"9,770"
Americas,USA,Jul-23,"64,786"
Americas,Other Markets In Americas,Jul-23,"7,081"
Europe,Belgium & Luxembourg,Jul-23,"3,995"
Europe,Denmark,Jul-23,"2,881"
Europe,Finland,Jul-23,"1,062"
Europe,France,Jul-23,"18,158"
Europe,Germany,Jul-23,"21,074"
Europe,Italy,Jul-23,"6,965"
Europe,Netherlands,Jul-23,"10,867"
Europe,Norway,Jul-23,"3,585"
Europe,Rep Of Ireland,Jul-23,"2,344"
Europe,Russian Federation,Jul-23,"3,627"
Europe,Spain,Jul-23,"5,983"
Europe,Sweden,Jul-23,"1,930"
Europe,Switzerland,Jul-23,"8,501"
Europe,United Kingdom,Jul-23,"36,886"
Europe,Other Markets In Europe,Jul-23,"16,968"
Oceania,Australia,Jul-23,"98,408"
Oceania,New Zealand,Jul-23,"15,350"
Oceania,Other Markets In Oceania,Jul-23,"3,119"
Africa,Egypt,Jul-23,348
Africa,Mauritius,Jul-23,413
Africa,South Africa (Rep Of),Jul-23,"2,166"
Africa,Other Markets In Africa,Jul-23,"2,999"
Others,Others,Jul-23,104
Southeast Asia,Brunei Darussalam,Aug-23,"6,214"
Southeast Asia,Indonesia,Aug-23,"168,122"
Southeast Asia,Malaysia,Aug-23,"88,044"
Southeast Asia,Myanmar,Aug-23,"10,159"
Southeast Asia,Philippines,Aug-23,"61,802"
Southeast Asia,Thailand,Aug-23,"34,938"
Southeast Asia,Vietnam,Aug-23,"51,381"
Southeast Asia,Other Markets In Southeast Asia,Aug-23,"8,992"
Greater China,China,Aug-23,"215,442"
Greater China,Hong Kong SAR,Aug-23,"32,627"
Greater China,Taiwan,Aug-23,"38,432"
Greater China,Other Markets In Greater China,Aug-23,"3,316"
North Asia,Japan,Aug-23,"68,304"
North Asia,South Korea,Aug-23,"62,177"
North Asia,Other Markets In North Asia,Aug-23,185
South Asia,Bangladesh,Aug-23,"11,124"
South Asia,India,Aug-23,"83,601"
South Asia,Pakistan,Aug-23,"1,497"
South Asia,Sri Lanka,Aug-23,"5,567"
South Asia,Other Markets In South Asia,Aug-23,"2,863"
West Asia,Iran,Aug-23,406
West Asia,Israel,Aug-23,"1,669"
West Asia,Kuwait,Aug-23,"2,157"
West Asia,Saudi Arabia,Aug-23,"3,123"
West Asia,United Arab Emirates,Aug-23,"8,749"
West Asia,Other Markets In West Asia,Aug-23,"3,686"
Americas,Canada,Aug-23,"9,877"
Americas,USA,Aug-23,"48,489"
Americas,Other Markets In Americas,Aug-23,"4,630"
Europe,Belgium & Luxembourg,Aug-23,"3,466"
Europe,Denmark,Aug-23,"1,703"
Europe,Finland,Aug-23,838
Europe,France,Aug-23,"24,471"
Europe,Germany,Aug-23,"24,633"
Europe,Italy,Aug-23,"20,896"
Europe,Netherlands,Aug-23,"11,327"
Europe,Norway,Aug-23,"1,378"
Europe,Rep Of Ireland,Aug-23,"1,984"
Europe,Russian Federation,Aug-23,"3,493"
Europe,Spain,Aug-23,"10,525"
Europe,Sweden,Aug-23,"1,396"
Europe,Switzerland,Aug-23,"6,359"
Europe,United Kingdom,Aug-23,"41,765"
Europe,Other Markets In Europe,Aug-23,"18,898"
Oceania,Australia,Aug-23,"80,605"
Oceania,New Zealand,Aug-23,"12,499"
Oceania,Other Markets In Oceania,Aug-23,"2,687"
Africa,Egypt,Aug-23,243
Africa,Mauritius,Aug-23,377
Africa,South Africa (Rep Of),Aug-23,"1,718"
Africa,Other Markets In Africa,Aug-23,"3,794"
Others,Others,Aug-23,65
Southeast Asia,Brunei Darussalam,Sep-23,"4,502"
Southeast Asia,Indonesia,Sep-23,"175,603"
Southeast Asia,Malaysia,Sep-23,"89,384"
Southeast Asia,Myanmar,Sep-23,"10,631"
Southeast Asia,Philippines,Sep-23,"50,679"
Southeast Asia,Thailand,Sep-23,"32,307"
Southeast Asia,Vietnam,Sep-23,"34,736"
Southeast Asia,Other Markets In Southeast Asia,Sep-23,"6,264"
Greater China,China,Sep-23,"135,677"
Greater China,Hong Kong SAR,Sep-23,"25,848"
Greater China,Taiwan,Sep-23,"25,818"
Greater China,Other Markets In Greater China,Sep-23,"1,415"
North Asia,Japan,Sep-23,"45,989"
North Asia,South Korea,Sep-23,"48,187"
North Asia,Other Markets In North Asia,Sep-23,122
South Asia,Bangladesh,Sep-23,"10,240"
South Asia,India,Sep-23,"81,016"
South Asia,Pakistan,Sep-23,"1,360"
South Asia,Sri Lanka,Sep-23,"5,156"
South Asia,Other Markets In South Asia,Sep-23,"2,795"
West Asia,Iran,Sep-23,"1,009"
West Asia,Israel,Sep-23,"1,805"
West Asia,Kuwait,Sep-23,521
West Asia,Saudi Arabia,Sep-23,"1,844"
